40.4870606, 111.7779370
40.4870606, 111.7779376
40.4870605, 111.7779383
40.4870604, 111.7779389
40.4870602, 111.7779395
40.4870599, 111.7779401
40.4870597, 111.7779408
40.4870594, 111.7779414
40.4870590, 111.7779420
40.4870586, 111.7779426
40.4869879, 111.7779434
40.4869877, 111.7779405
40.4869875, 111.7779376
40.4869873, 111.7779347
40.4869871, 111.7779318
40.4869869, 111.7779289
40.4869867, 111.7779260
40.4869865, 111.7779231
40.4869863, 111.7779202
40.4869861, 111.7779173
40.48702195, 111.77754335
40.48702194, 111.77754377
40.48702191, 111.77754419
40.48702185, 111.77754461
40.48702177, 111.77754503
40.48702167, 111.77754545
40.48702155, 111.77754587
40.48702141, 111.77754628
40.48702125, 111.77754670
40.48702106, 111.77754711
